City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
135,Tilichiki,RU,2022-09-28 18:57:28,60.4667,166.1,33.98,98,100,7.49
136,Tura,IN,2022-09-28 18:57:28,25.5198,90.2201,73.98,91,31,2.84
137,Lamu,KE,2022-09-28 18:54:22,-2.2717,40.902,77.22,80,20,15.99
138,Kundiawa,PG,2022-09-28 18:57:29,-6.0167,144.9667,57.96,97,39,3.36
139,Puerto Ayora,EC,2022-09-28 18:57:29,-0.7393,-90.3518,73.36,88,75,5.01
140,Sisimiut,GL,2022-09-28 18:57:30,66.9395,-53.6735,43.39,85,100,4.5
141,Suzhou,CN,2022-09-28 18:58:15,31.3114,120.6181,66.22,85,100,2.68
142,Akhmeta,GE,2022-09-28 18:58:31,42.0311,45.2075,75.72,31,100,6.31
143,Avarua,CK,2022-09-28 18:58:31,-21.2078,-159.775,77.05,88,75,11.5
144,Honiara,SB,2022-09-28 18:58:32,-9.4333,159.95,75.94,85,16,6.51
145,Rio Grande,BR,2022-09-28 18:54:47,-32.035,-52.0986,66.31,63,60,13.98
146,Port-Cartier,CA,2022-09-28 18:58:32,50.0334,-66.8654,53.82,86,100,9.26
147,Paracuru,BR,2022-09-28 18:58:33,-3.41,-39.0306,80.11,65,11,17.0
148,Moi,NO,2022-09-28 18:58:33,58.4567,6.5518,54.39,79,100,17.29
149,Paamiut,GL,2022-09-28 18:58:34,61.994,-49.6678,43.07,93,100,8.23
150,Bambous Virieux,MU,2022-09-28 18:58:34,-20.3428,57.7575,70.05,68,75,10.36
151,Kruisfontein,ZA,2022-09-28 18:58:35,-34.0033,24.7314,60.89,90,0,5.59
152,Moose Factory,CA,2022-09-28 18:58:35,51.2585,-80.6094,46.4,57,100,10.36
153,Eyl,SO,2022-09-28 18:58:35,7.9803,49.8164,78.6,81,11,19.69
154,Margate,GB,2022-09-28 18:58:36,51.3813,1.3862,53.69,75,100,1.01
155,Castro,BR,2022-09-28 18:58:36,-24.7911,-50.0119,53.1,95,100,8.57
156,San Borja,BO,2022-09-28 18:58:37,-14.8167,-66.85,98.62,32,75,4.27
157,East London,ZA,2022-09-28 18:58:37,-33.0153,27.9116,63.54,94,0,11.5
158,Zyryanovsk,KZ,2022-09-28 18:58:38,49.7386,84.2719,43.81,95,100,2.42
159,Lieksa,FI,2022-09-28 18:58:38,63.3167,30.0167,42.64,92,31,9.51
160,Shimoda,JP,2022-09-28 18:58:39,34.6667,138.95,68.11,80,94,1.77
161,Leh,IN,2022-09-28 18:58:39,34.1667,77.5833,52.47,42,29,5.03
162,Yarada,IN,2022-09-28 18:58:40,17.65,83.2667,80.92,94,40,2.3
163,Gympie,AU,2022-09-28 18:58:40,-26.1898,152.665,57.63,70,100,2.8
164,Leshukonskoye,RU,2022-09-28 18:58:40,64.8989,45.7622,29.25,75,0,5.28
165,Gushikawa,JP,2022-09-28 18:58:41,26.3544,127.8686,79.83,94,11,7.92
166,Lincoln,US,2022-09-28 18:56:36,40.8,-96.667,72.27,31,0,4.0
167,Tukuyu,TZ,2022-09-28 18:58:41,-9.25,33.65,60.51,72,5,2.04
168,Kodiak,US,2022-09-28 18:58:42,57.79,-152.4072,50.94,90,90,8.34
169,Moanda,GA,2022-09-28 18:58:42,-1.5575,13.2178,71.04,93,64,1.21
170,Ostrovnoy,RU,2022-09-28 18:58:42,68.0531,39.5131,38.44,86,100,9.28
171,Neiafu,TO,2022-09-28 18:58:43,-18.65,-173.9833,75.88,88,40,6.91
172,Vysokogornyy,RU,2022-09-28 18:58:43,50.1167,139.15,35.65,98,14,3.76
173,Ibra,OM,2022-09-28 18:58:44,22.6906,58.5334,78.22,71,24,6.71
174,Alofi,NU,2022-09-28 18:58:44,-19.0595,-169.9187,75.09,94,46,5.75
175,Carnarvon,AU,2022-09-28 18:58:44,-24.8667,113.6333,67.21,72,0,13.73
176,Hamilton,US,2022-09-28 18:58:45,39.1834,-84.5333,61.99,62,54,5.01
177,Walvis Bay,NA,2022-09-28 18:58:45,-22.9575,14.5053,59.95,77,0,3.44
178,Kiunga,PG,2022-09-28 18:58:46,-6.1219,141.2906,72.57,99,100,1.92
179,Alice Springs,AU,2022-09-28 18:58:46,-23.7,133.8833,44.15,65,0,2.3
180,Inndyr,NO,2022-09-28 18:58:46,67.0338,14.0276,50.95,70,99,7.83
181,Koslan,RU,2022-09-28 18:58:47,63.4564,48.8989,29.12,65,0,6.13
182,Shieli,KZ,2022-09-28 18:58:47,44.1667,66.75,57.56,40,100,10.98
183,Makakilo City,US,2022-09-28 18:58:48,21.3469,-158.0858,81.01,62,13,10.27
184,Qianan,CN,2022-09-28 18:58:48,44.9932,124.0581,53.74,62,19,6.76
185,The Valley,AI,2022-09-28 18:58:49,18.217,-63.0578,86.14,70,40,14.97
186,Tuktoyaktuk,CA,2022-09-28 18:58:49,69.4541,-133.0374,28.4,86,75,4.61
187,Gat,IL,2022-09-28 18:59:49,31.61,34.7642,77.81,100,0,5.75
188,Carauari,BR,2022-09-28 18:59:50,-4.8828,-66.8958,98.74,33,84,4.38
